instance_id,event_id,is_cc,nu_pdg,nu_flavour,nu_energy_truth,nu_dir_truth_x,nu_dir_truth_y,nu_dir_truth_z,zenith_truth_deg,L_truth_km,nu_energy_reco,nu_dir_reco_x,nu_dir_reco_y,nu_dir_reco_z,zenith_reco_deg,L_reco_km,n_primaries,n_total_particles,n_primary_leptons,n_primary_protons,n_primary_pions,n_primary_photons,n_primary_other,leading_lepton_pdg,leading_lepton_energy,n_points_raw,n_points_filtered,direction_recon_ok,is_ccqe_topology,is_ccqe_reconstructed,n_hits,n_hits_w,n_hits_v,n_hits_u,total_adc,mean_adc,max_adc,drift_range,drift_std,channel_range_w,channel_range_v,channel_range_u,hit_density
215,19,True,14,numu,3.4365103244781494,0.8238892712191798,-0.566359712489821,0.021051005638120825,55.50323445862799,29.054161955250493,2.895419255028734,0.7811449707067187,-0.6242383305595235,0.011791581736931752,51.37369524636752,26.37894387431379,20,22,1,2,1,15,1,13.0,2.9604198932647705,1037,987,False,False,False,1540,277,652,611,364228.125,236.5117645263672,2693.460693359375,325.66943359375,91.37789916992188,640.1690673828125,595.889404296875,490.01715087890625,4.72872133870888
216,20,False,16,nutau,1.0209699869155884,-0.4397641456335587,0.6230382650921633,0.6468622855338944,128.53834574215725,7963.313876868809,0.11210254220841584,0.01810107190053016,0.9997270890328009,0.0147681633947478,178.66137786522035,12752.02787980632,7,8,0,2,0,5,0,,,39,29,False,False,False,36,12,12,12,7049.50390625,195.81954956054688,931.0299682617188,67.05220031738281,20.470590591430664,101.06900024414062,81.20579528808594,83.07260131835938,0.5368951328904751
217,21,False,-14,numu,0.40257176756858826,-0.04591225952894094,0.45878370684021136,-0.8873610171530538,117.30865013983076,5880.2376894997,0.27137210141864426,-0.0417345179282476,-0.9932175867845914,0.1085221420498578,6.6769100027719315,16.612379916877217,1,2,0,1,0,0,0,,,20,13,True,False,False,23,3,12,8,10743.96484375,467.12890625,1099.484619140625,585.2113037109375,278.40264892578125,0.9580078125,374.7601318359375,59.96356201171875,0.0393020433032523
218,22,False,14,numu,0.9160831570625305,-0.5896138121692497,-0.7516941563660626,0.29548510585875243,41.26265518511417,21.928631188310646,35.79550670889336,0.004736822260363546,-0.9999853525208863,0.002618636773684188,0.3101127370283567,16.500241062466557,42,43,0,3,0,37,2,,,225,168,False,False,False,232,69,79,84,40827.96875,175.9826202392578,3090.143310546875,298.4836730957031,81.61865997314453,265.9200439453125,261.034912109375,201.7640380859375,0.7772619439911999
219,23,False,-14,numu,0.653509259223938,0.5400085718332293,-0.4482211736621013,-0.7123822862955006,63.370386546091396,36.62494039428111,0.902387300327599,0.8497898851957769,-0.4500682046275643,-0.27440073287487604,63.25194002770508,36.476527891175465,7,8,0,2,0,4,1,,,61,49,False,False,False,120,38,61,21,76539.765625,637.8313598632812,3484.84912109375,71.65443420410156,17.57890510559082,187.364013671875,262.4349365234375,70.62127685546875,1.674704452458451
220,24,True,-14,numu,0.1905076801776886,0.3492494694360137,-0.13448520385400878,0.927328710891132,82.2711472153479,115.11420841269853,0.26017166211526804,0.1750754108431392,-0.9489099407015446,0.2625233798272015,18.393840291821455,17.38588965661893,9,11,1,1,0,5,2,-13.0,0.11554436385631561,117,92,False,False,False,82,23,28,31,17097.8984375,208.51095581054688,1686.7781982421875,65.59877014160156,25.108577728271484,54.60601806640625,33.13568115234375,56.0040283203125,1.2500234352411597
221,25,True,12,nue,0.2280118614435196,0.9035941787616795,0.0764810113944339,0.42150707586479547,94.3863224597982,1156.3070550503694,0.41160400428245336,0.33199222238311304,-0.9363148282664121,-0.1144364742796661,20.558386588996775,17.619076682524792,4,5,1,1,0,2,0,11.0,0.14296866953372955,403,331,False,False,False,168,57,68,43,41107.97265625,244.6903076171875,1466.86865234375,59.157470703125,10.171113967895508,135.0780029296875,65.33798217773438,64.87127685546875,2.8398780070075813
222,26,False,14,numu,1.7042022943496704,-0.5845634785819958,0.5071537248800834,-0.6333092758268848,120.47442607138649,6493.04532877117,0.007758732419461012,-0.009472737677749636,-0.9999112462423634,-0.009368397885035833,0.763368468253786,16.501460782370486,1,2,0,0,0,1,0,,,72,56,True,False,False,31,4,14,13,3308.291015625,106.71906280517578,144.35707092285156,689.707275390625,312.98065185546875,1.43701171875,375.226806640625,374.7601013183594,0.04494660431476924
223,27,True,12,nue,1.2940090894699097,0.05772639915711285,0.5225108234876704,0.8506762616757271,121.50082376951643,6687.7357848588035,1.1723396187463773,-0.028785390391362603,0.45214347855211273,0.8914806089325847,116.88129069536237,5796.16696844037,5,6,1,1,0,3,0,11.0,1.0615273714065552,5991,5169,False,False,False,1213,376,538,299,342828.8125,282.6288757324219,3196.6318359375,150.2052764892578,15.0724515914917,112.08599853515625,198.814208984375,81.205810546875,8.075615107214624
224,28,True,12,nue,0.6450196504592896,0.24057256760218612,-0.16559050598754546,-0.9564019155376469,80.46846012933887,95.45318791154068,0.7053943009753957,-0.3706996935412804,0.3529893127342615,-0.8590577875229317,110.6702642247585,4543.0577478823625,16,17,1,3,0,12,0,11.0,0.3023058772087097,560,516,False,False,False,470,142,162,166,104884.3125,223.15811157226562,1286.603759765625,323.98614501953125,74.2347183227539,396.2829895019531,292.45343017578125,409.12841796875,1.450679318313647
